회사명,거래소코드,회계년도,[U01B951020000]*주당순손익(요약)(IFRS연결)(원),[U01B951020000]*주당순손익(요약)(IFRS)(원),[U01219000]주당순이익(요약)(원),[U01B951020000]*주당순손익(IFRS연결)(원),[U01B951020000]*주당순손익(IFRS)(원),[U01290400]*주당순손익(연결)(원),[U01290400]*주당순손익(원),당기순이익(천원),주당순이익(원),주당순자산(원)
(주)에스제이켐,217910,2019/12,,,14,,,,14,187934,14,0
(주)에스제이켐,217910,2020/12,,,15,,,,15,195157,15,0
(주)에스제이켐,217910,2021/12,,,-122,,,,-122,-1585559,-122,0
(주)에스제이켐,217910,2022/12,,,-54,,,,-54,-701051,-54,0
(주)에스케이씨에스,224020,2016/12,,,182,,,,182,493426,182,0
(주)에스케이씨에스,224020,2017/12,,,-1702,,,,-1702,-5233257,-1702,0
(주)에스케이씨에스,224020,2018/12,,-387,-387,,-387,,-387,-1045861,-387,0
(주)에스케이씨에스,224020,2019/12,,-31,-31,,-31,,-31,-83081,-31,0
(주)에스케이씨에스,224020,2020/12,,-856,-856,,-856,,-856,-2320427,-856,0
(주)에스케이씨에스,224020,2021/12,,10,10,,10,,10,30193,10,0
(주)에스케이씨에스,224020,2022/12,,-1176,-1176,,-1176,,-1176,-4056183,-1176,0
(주)에이아이더뉴트리진,311960,2022/12,0,-255,-255,0,-255,0,-255,-780815,-255,0
(주)에이원알폼,234070,2015/12,0,443,443,0,443,0,443,1639911,443,0
(주)에이원알폼,234070,2016/12,1917,1917,1917,1917,1917,1917,1917,7372638,1917,0
(주)에이원알폼,234070,2017/12,1153,1153,1153,1153,1153,1153,1153,4650740,1153,0
(주)에이원알폼,234070,2018/12,,349,349,,349,,349,1348082,349,0
(주)에이원알폼,234070,2019/12,,-342,-342,,-342,,-342,-1206965,-342,0
(주)에이원알폼,234070,2020/12,,-2750,-2750,,-2750,,-2750,-9830659,-2750,0
(주)에이원알폼,234070,2021/12,,-4789,-4789,,-4789,,-4789,-12062938,-4789,0
(주)에이원알폼,234070,2022/12,,1955,1955,,1955,,1955,10531411,1955,0
(주)엔솔바이오사이언스,140610,2018/12,0,-449,-449,0,-449,-451,-449,-3787774,-449,0
(주)엔솔바이오사이언스,140610,2019/12,-524,-523,-523,-524,-523,-524,-523,-4505970,-523,0
(주)엔솔바이오사이언스,140610,2020/12,,-1168,-1168,,-1168,,-1168,-10167199,-1168,0
(주)엔솔바이오사이언스,140610,2021/12,,-1030,-1030,,-1030,,-1030,-9799767,-1030,0
(주)엔솔바이오사이언스,140610,2022/12,,-511,-511,,-511,,-511,-4914569,-511,0
(주)엔에스엠,238170,2019/12,0,43,43,0,43,0,43,842431,43,0
(주)엔에스엠,238170,2020/12,0,136,136,0,136,0,136,2778643,136,0
(주)엔에스엠,238170,2021/12,0,-6,-6,0,-6,0,-6,-125023,-6,0
(주)엔에스엠,238170,2022/12,0,-44,-44,0,-44,0,-44,-910213,-44,0
(주)엔지브이아이,093510,2019/12,,,13,,,,13,80299,13,0
(주)엔지브이아이,093510,2020/12,,,-45,,,,-45,-268369,-45,0
(주)엔지브이아이,093510,2021/12,,,-164,,,,-164,-987024,-164,0
(주)엔지브이아이,093510,2022/12,,,-290,,,,-290,-1745479,-290,0
(주)엘리비젼,276240,2018/12,,,-417,,,,-417,-976937,-417,0
(주)엘리비젼,276240,2019/12,,,-512,,,,-512,-2524889,-512,0
(주)엘리비젼,276240,2020/12,,,-351,,,,-351,-1953069,-351,0
(주)엘리비젼,276240,2021/12,,,-94,,,,-94,-625117,-94,0
(주)엘리비젼,276240,2022/12,,,-71,,,,-71,-528604,-71,0
(주)엘에이티,311060,2018/12,,,438,,,,438,463877,438,0
(주)엘에이티,311060,2019/12,,,-60,,,,-60,-135278,-60,0
(주)엘에이티,311060,2020/12,,,171,,,,171,436520,171,0
(주)엘에이티,311060,2021/12,,,-384,,,,-384,-981763,-384,0
(주)엘에이티,311060,2022/12,,406,406,,406,,406,1134279,406,0
(주)원포유,122830,2020/12,,,161,,,,161,1060355,161,0
(주)원포유,122830,2021/12,,,341,,,,341,2236522,341,0
(주)원포유,122830,2022/12,,6,6,,6,,6,198338,6,0
(주)유엑스엔,337840,2019/12,,,-463,,,,-463,-1326059,-463,0
(주)유엑스엔,337840,2020/12,,,-926,,,,-926,-2935459,-926,0
(주)유엑스엔,337840,2021/12,,,-1115,,,,-1115,-3138417,-1115,0
(주)유엑스엔,337840,2022/12,,,-1590,,,,-1590,-5474486,-1590,0
(주)이노벡스,279060,2019/12,,,6,,,,6,37026,6,0
(주)이노벡스,279060,2020/12,,-867,-867,,-867,,-867,-5320893,-867,0
(주)이노벡스,279060,2021/12,,-376,-376,,-376,,-376,-2510677,-376,0
(주)이노벡스,279060,2022/12,,-292,-292,,-292,,-292,-2319722,-292,0
(주)이앤에치,341310,2019/12,0,-209,-209,0,-209,0,-209,-3612828,-209,0
(주)이앤에치,341310,2020/12,1,772,772,760,772,760,772,13343909,772,0
(주)이앤에치,341310,2021/12,0,197,197,220,197,220,197,3401109,197,0
(주)이앤에치,341310,2022/12,-1,-749,-749,-767,-749,-767,-749,-12949164,-749,0
(주)이엠비,278990,2017/12,0,-40,-40,0,-40,0,-40,-135074,-40,0
(주)이엠비,278990,2018/12,-1,-827,-827,-787,-827,-787,-827,-2904416,-827,0
(주)이엠비,278990,2019/12,0,47,47,0,47,0,47,171953,47,0
(주)이엠비,278990,2020/12,0,345,345,0,345,0,345,1226463,345,0
(주)이엠비,278990,2021/12,0,312,312,429,312,429,312,1111638,312,0
(주)이엠비,278990,2022/12,0,-358,-358,-135,-358,-135,-358,-1276212,-358,0
