,회사명,거래소코드,회계년도,이자보상배율(이자비용),이자보상배율(순금융비용),[U01250010]   이자비용(천원),[U01230000]영업이익(손실)(천원)
252,(주)네오티스,85910,2017/12,6.29,-132.96,380602.0,2393447.0
253,(주)네오티스,85910,2018/12,5.52,7.12,636410.0,3513246.0
254,(주)네오티스,85910,2019/12,3.85,4.75,688034.0,2645699.0
255,(주)네오티스,85910,2020/12,2.14,1.14,1318195.0,2827061.0
256,(주)네오티스,85910,2021/12,3.16,3.9,1462865.0,4615728.0
257,(주)네오티스,85910,2022/12,2.7,4.09,1837820.0,4955148.0
258,(주)네오펙트,290660,2018/12,-2.25,-10.1,913147.0,-2052684.0
259,(주)네오펙트,290660,2019/12,-6.41,-20.63,803798.0,-5148946.0
260,(주)네오펙트,290660,2020/12,-5.32,-6.03,1408638.0,-7488179.0
261,(주)네오펙트,290660,2021/12,-3.13,-3.76,1354722.0,-4246095.0
262,(주)네오펙트,290660,2022/12,-3.11,-5.78,1609732.0,-5009549.0
263,(주)네온테크,306620,2018/12,,,,
264,(주)네온테크,306620,2019/12,,,,
265,(주)네온테크,306620,2020/12,0.52,-2.93,1663496.0,870580.0
266,(주)네온테크,306620,2021/12,-2.09,-2.56,1641107.0,-3431645.0
267,(주)네온테크,306620,2022/12,-3.91,-4.82,1068703.0,-4175633.0
268,(주)네이블커뮤니케이션즈,153460,2012/12,71.34,999999999.0,71512.0,5101595.0
269,(주)네이블커뮤니케이션즈,153460,2013/12,4.62,999999999.0,8361.0,38631.0
270,(주)네이블커뮤니케이션즈,153460,2014/12,531.07,999999999.0,1044.0,554440.0
271,(주)네이블커뮤니케이션즈,153460,2015/12,999999999.0,999999999.0,0.0,254292.0
272,(주)네이블커뮤니케이션즈,153460,2016/12,999999999.0,999999999.0,0.0,194621.0
273,(주)네이블커뮤니케이션즈,153460,2017/12,999999999.0,999999999.0,0.0,-6481007.0
274,(주)네이블커뮤니케이션즈,153460,2018/12,999999999.0,999999999.0,0.0,-2389050.0
275,(주)네이블커뮤니케이션즈,153460,2019/12,-454.29,999999999.0,1067.0,-484726.0
