,회사명,거래소코드,회계년도,GAAP(개별) 기업수명주기,GAAP(연결) 기업수명주기,IFRS(개별) 기업수명주기,IFRS(개별)(비교) 기업수명주기,IFRS(연결) 기업수명주기,IFRS(연결)(비교) 기업수명주기
8272,감성코퍼레이션(주),36620,2017/12,도입기,,도입기,도입기,,도입기
8273,감성코퍼레이션(주),36620,2018/12,성장기,성장기,성장기,성장기,성장기,성장기
8274,감성코퍼레이션(주),36620,2019/12,도입기,도입기,도입기,도입기,도입기,도입기
8275,감성코퍼레이션(주),36620,2020/12,성숙기,쇠퇴기,성숙기,쇠퇴기,쇠퇴기,
8276,감성코퍼레이션(주),36620,2021/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
8277,감성코퍼레이션(주),36620,2022/12,도입기,,도입기,,,
8278,경남제약(주),53950,2012/12,성숙기,,성숙기,성숙기,,
8279,경남제약(주),53950,2013/12,쇠퇴기,,쇠퇴기,쇠퇴기,,
8280,경남제약(주),53950,2014/12,성숙기,,성숙기,성숙기,,
8281,경남제약(주),53950,2015/12,성숙기,,성숙기,성숙기,,
8282,경남제약(주),53950,2016/12,성숙기,,성숙기,성숙기,,
8283,경남제약(주),53950,2017/12,,,,,,
8284,경남제약(주),53950,2018/12,도입기,도입기,도입기,도입기,도입기,도입기
8285,경남제약(주),53950,2019/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
8286,경남제약(주),53950,2020/12,성장기,성장기,성장기,성장기,성장기,성장기
8287,경남제약(주),53950,2021/12,도입기,도입기,도입기,도입기,도입기,도입기
8288,경남제약(주),53950,2022/12,성장기,성장기,성장기,,성장기,
8289,경인전자(주),9140,2012/12,성숙기,성숙기,성숙기,성숙기,성숙기,
8290,경인전자(주),9140,2013/12,,,,,,
8291,경인전자(주),9140,2014/12,,,,,,
8292,경인전자(주),9140,2015/12,,,,,,
8293,경인전자(주),9140,2016/12,,,,,,
8294,경인전자(주),9140,2017/12,,쇠퇴기,,,쇠퇴기,쇠퇴기
8295,경인전자(주),9140,2018/12,,쇠퇴기,,,쇠퇴기,쇠퇴기
8296,경인전자(주),9140,2019/12,,,,,,
8297,경인전자(주),9140,2020/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
8298,경인전자(주),9140,2021/12,,성숙기,,,성숙기,성숙기
8299,경인전자(주),9140,2022/12,성숙기,성숙기,성숙기,,성숙기,
8300,고려제약(주),14570,2012/12,성숙기,,성숙기,성숙기,,
8301,고려제약(주),14570,2013/12,성숙기,,성숙기,성숙기,,
8302,고려제약(주),14570,2014/12,성숙기,,성숙기,성숙기,,
8303,고려제약(주),14570,2015/12,성숙기,,성숙기,성숙기,,
8304,고려제약(주),14570,2016/12,성숙기,,성숙기,성숙기,,
8305,고려제약(주),14570,2017/12,성숙기,,성숙기,성숙기,,
8306,고려제약(주),14570,2018/12,성숙기,,성숙기,성숙기,,
8307,고려제약(주),14570,2019/12,성숙기,,성숙기,성숙기,,
8308,고려제약(주),14570,2020/12,성숙기,,성숙기,성숙기,,
8309,고려제약(주),14570,2021/12,성숙기,,성숙기,성숙기,,
8310,고려제약(주),14570,2022/12,성숙기,,성숙기,,,
8311,광진실업(주),26910,2012/12,성숙기,,성숙기,성숙기,,
8312,광진실업(주),26910,2013/12,성숙기,,성숙기,성숙기,,
